Food_Name,peanut,almond,eggs,milk,whey,butter,cheese,paneer,curd,ghee,oats,bread,roti,lobster,squid,mussels
Kosha Mangsho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dim Bhuna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pui Shaak Chingri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potoler Dolma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echorer Dalna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muri Ghonto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patishapta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puli Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narkel Naru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chingri Machher Malaikari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kalia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Moong Dal Bhaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish Fry (Bengali Style),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potol Bhaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimer Devil,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Chicken Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chowmein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fried Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilli Chicken Style,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandwich,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
French Fries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sausage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic Bread,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Momos Fried,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Momos Steamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Lollipop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drums of Heaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Popcorn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grilled Sandwich,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Potato Chips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Popcorn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cup Noodles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swiss Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Bar,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ice Cream Cup,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frozen Dessert,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soft Drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy Drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tea Biscuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornflakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oats Cereal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bhujia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cake,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Omelette,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghugni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Cake,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Upma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
